quarantined_at,reason,source,record
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '23/11/2021', 'min_price': '4100.00', 'max_price': '4200.00', 'modal_price': '4150.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '22/11/2021', 'min_price': '4100.00', 'max_price': '4200.00', 'modal_price': '4150.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '20/11/2021', 'min_price': '4100.00', 'max_price': '4200.00', 'modal_price': '4150.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '19/11/2021', 'min_price': '4100.00', 'max_price': '4200.00', 'modal_price': '4150.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '18/11/2021', 'min_price': '3900.00', 'max_price': '4000.00', 'modal_price': '3950.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '17/11/2021', 'min_price': '4200.00', 'max_price': '4300.00', 'modal_price': '4250.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'Other', 'grade': 'FAQ', 'arrival_date': '06/12/2022', 'min_price': '4850.00', 'max_price': '4950.00', 'modal_price': '4900.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'Other', 'grade': 'FAQ', 'arrival_date': '03/12/2022', 'min_price': '4800.00', 'max_price': '5000.00', 'modal_price': '4900.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '02/12/2022', 'min_price': '4500.00', 'max_price': '5000.00', 'modal_price': '4750.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '01/12/2022', 'min_price': '4700.00', 'max_price': '4800.00', 'modal_price': '4750.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'api', 'grade': 'FAQ', 'arrival_date': '30/11/2022', 'min_price': '4700.00', 'max_price': '4800.00', 'modal_price': '4750.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_5000_150000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'Other', 'grade': 'FAQ', 'arrival_date': '29/11/2022', 'min_price': '4700.00', 'max_price': '4800.00', 'modal_price': '4750.00'}"
2026-07-09T07:17:02+00:00,min_modal_max_order,agmarknet,"{'state': 'Keralam', 'district': 'Kannur', 'market': 'Irikkur Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'Other', 'grade': 'FAQ', 'arrival_date': '03/02/2024', 'min_price': '30000.00', 'max_price': '0.00', 'modal_price': '30000.00'}"
2026-07-09T07:17:02+00:00,min_modal_max_order,agmarknet,"{'state': 'Keralam', 'district': 'Kasargod', 'market': 'Kasargod Market', 'commodity': 'Arecanut(Betelnut/Supari)', 'variety': 'Other', 'grade': 'FAQ', 'arrival_date': '09/07/2025', 'min_price': '46000.00', 'max_price': '0.00', 'modal_price': '46500.00'}"
2026-07-09T07:17:02+00:00,min_modal_max_order,agmarknet,"{'state': 'Keralam', 'district': 'Kannur', 'market': 'Irikkur Market', 'commodity': 'Black pepper', 'variety': 'Other', 'grade': 'FAQ', 'arrival_date': '17/02/2022', 'min_price': '50000.00', 'max_price': '0.00', 'modal_price': '50000.00'}"
2026-07-09T07:17:02+00:00,min_modal_max_order,agmarknet,"{'state': 'Keralam', 'district': 'Kannur', 'market': 'Irikkur Market', 'commodity': 'Black pepper', 'variety': 'Other', 'grade': 'FAQ', 'arrival_date': '31/01/2022', 'min_price': '45000.00', 'max_price': '0.00', 'modal_price': '45000.00'}"
2026-07-09T07:17:02+00:00,min_modal_max_order,agmarknet,"{'state': 'Keralam', 'district': 'Kannur', 'market': 'Irikkur Market', 'commodity': 'Black pepper', 'variety': 'Other', 'grade': 'FAQ', 'arrival_date': '05/01/2022', 'min_price': '44000.00', 'max_price': '0.00', 'modal_price': '44000.00'}"
2026-07-09T07:17:02+00:00,min_modal_max_order,agmarknet,"{'state': 'Keralam', 'district': 'Kannur', 'market': 'Irikkur Market', 'commodity': 'Black pepper', 'variety': 'Other', 'grade': 'FAQ', 'arrival_date': '30/12/2021', 'min_price': '48000.00', 'max_price': '0.00', 'modal_price': '48000.00'}"
2026-07-09T07:17:02+00:00,min_modal_max_order,agmarknet,"{'state': 'Keralam', 'district': 'Kannur', 'market': 'Irikkur Market', 'commodity': 'Black pepper', 'variety': 'Other', 'grade': 'FAQ', 'arrival_date': '17/10/2021', 'min_price': '38000.00', 'max_price': '0.00', 'modal_price': '38000.00'}"
2026-07-09T07:17:02+00:00,min_modal_max_order,agmarknet,"{'state': 'Keralam', 'district': 'Kannur', 'market': 'Irikkur Market', 'commodity': 'Black pepper', 'variety': 'Other', 'grade': 'FAQ', 'arrival_date': '09/09/2021', 'min_price': '38500.00', 'max_price': '0.00', 'modal_price': '38500.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Kannur', 'market': 'Payyannur Market', 'commodity': 'Black pepper', 'variety': 'Other', 'grade': 'FAQ', 'arrival_date': '30/11/2021', 'min_price': '9400.00', 'max_price': '9600.00', 'modal_price': '9500.00'}"
2026-07-09T07:17:02+00:00,min_modal_max_order,agmarknet,"{'state': 'Keralam', 'district': 'Kasargod', 'market': 'Kanjangadu Market', 'commodity': 'Black pepper', 'variety': 'Other', 'grade': 'FAQ', 'arrival_date': '15/03/2022', 'min_price': '19400.00', 'max_price': '0.00', 'modal_price': '49000.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Kalpetta Market', 'commodity': 'Black pepper', 'variety': 'Other', 'grade': 'FAQ', 'arrival_date': '02/11/2021', 'min_price': '4500.00', 'max_price': '4600.00', 'modal_price': '4600.00'}"
2026-07-09T07:17:02+00:00,min_modal_max_order,agmarknet,"{'state': 'Keralam', 'district': 'Kannur', 'market': 'Taliparamba Market', 'commodity': 'Black pepper', 'variety': 'Other', 'grade': 'FAQ', 'arrival_date': '11/11/2022', 'min_price': '45000.00', 'max_price': '0.00', 'modal_price': '46000.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Black pepper', 'variety': 'Ungrabled', 'grade': 'FAQ', 'arrival_date': '07/07/2023', 'min_price': '959900.00', 'max_price': '960000.00', 'modal_price': '959950.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Sultan bathery Market', 'commodity': 'Black pepper', 'variety': 'Ungrabled', 'grade': 'FAQ', 'arrival_date': '16/01/2023', 'min_price': '4830.00', 'max_price': '4850.00', 'modal_price': '4840.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Sultan bathery Market', 'commodity': 'Black pepper', 'variety': 'Ungrabled', 'grade': 'FAQ', 'arrival_date': '13/01/2023', 'min_price': '4880.00', 'max_price': '4900.00', 'modal_price': '4885.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Sultan bathery Market', 'commodity': 'Black pepper', 'variety': 'Ungrabled', 'grade': 'FAQ', 'arrival_date': '12/01/2023', 'min_price': '4860.00', 'max_price': '4880.00', 'modal_price': '4870.00'}"
2026-07-09T07:17:02+00:00,min_modal_max_order,agmarknet,"{'state': 'Keralam', 'district': 'Kannur', 'market': 'Irikkur Market', 'commodity': 'Black pepper', 'variety': 'Other', 'grade': 'FAQ', 'arrival_date': '27/07/2023', 'min_price': '51000.00', 'max_price': '0.00', 'modal_price': '51000.00'}"
2026-07-09T07:17:02+00:00,min_modal_max_order,agmarknet,"{'state': 'Keralam', 'district': 'Kannur', 'market': 'Irityy Market', 'commodity': 'Black pepper', 'variety': 'Other', 'grade': 'FAQ', 'arrival_date': '03/06/2024', 'min_price': '59000.00', 'max_price': '0.00', 'modal_price': '59000.00'}"
2026-07-09T07:17:02+00:00,min_modal_max_order,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Kalpetta Market', 'commodity': 'Black pepper', 'variety': 'Other', 'grade': 'FAQ', 'arrival_date': '30/05/2024', 'min_price': '60500.00', 'max_price': '0.00', 'modal_price': '61500.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Black pepper', 'variety': 'Ungrabled', 'grade': 'FAQ', 'arrival_date': '15/07/2023', 'min_price': '959900.00', 'max_price': '960000.00', 'modal_price': '959950.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Black pepper', 'variety': 'Ungrabled', 'grade': 'FAQ', 'arrival_date': '14/07/2023', 'min_price': '959900.00', 'max_price': '960000.00', 'modal_price': '959950.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Mananthavady Market', 'commodity': 'Black pepper', 'variety': 'Ungrabled', 'grade': 'FAQ', 'arrival_date': '13/07/2023', 'min_price': '959900.00', 'max_price': '960000.00', 'modal_price': '959950.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Sultan bathery Market', 'commodity': 'Black pepper', 'variety': 'Ungrabled', 'grade': 'FAQ', 'arrival_date': '05/07/2024', 'min_price': '6540.00', 'max_price': '6560.00', 'modal_price': '6550.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Sultan bathery Market', 'commodity': 'Black pepper', 'variety': 'Ungrabled', 'grade': 'FAQ', 'arrival_date': '22/06/2024', 'min_price': '6700.00', 'max_price': '6700.00', 'modal_price': '6700.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Sultan bathery Market', 'commodity': 'Black pepper', 'variety': 'Ungrabled', 'grade': 'FAQ', 'arrival_date': '05/06/2024', 'min_price': '6050.00', 'max_price': '6070.00', 'modal_price': '6060.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Sultan bathery Market', 'commodity': 'Black pepper', 'variety': 'Ungrabled', 'grade': 'FAQ', 'arrival_date': '01/06/2024', 'min_price': '6100.00', 'max_price': '6200.00', 'modal_price': '6100.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Sultan bathery Market', 'commodity': 'Black pepper', 'variety': 'Ungrabled', 'grade': 'FAQ', 'arrival_date': '31/05/2024', 'min_price': '6050.00', 'max_price': '6070.00', 'modal_price': '6060.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Sultan bathery Market', 'commodity': 'Black pepper', 'variety': 'Ungrabled', 'grade': 'FAQ', 'arrival_date': '30/05/2024', 'min_price': '6050.00', 'max_price': '6050.00', 'modal_price': '6050.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Sultan bathery Market', 'commodity': 'Black pepper', 'variety': 'Ungrabled', 'grade': 'FAQ', 'arrival_date': '04/05/2024', 'min_price': '5640.00', 'max_price': '5650.00', 'modal_price': '5650.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Sultan bathery Market', 'commodity': 'Black pepper', 'variety': 'Ungrabled', 'grade': 'FAQ', 'arrival_date': '20/02/2024', 'min_price': '5240.00', 'max_price': '5250.00', 'modal_price': '5250.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Sultan bathery Market', 'commodity': 'Black pepper', 'variety': 'Ungrabled', 'grade': 'FAQ', 'arrival_date': '29/01/2024', 'min_price': '5790.00', 'max_price': '5800.00', 'modal_price': '5790.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Sultan bathery Market', 'commodity': 'Black pepper', 'variety': 'Ungrabled', 'grade': 'FAQ', 'arrival_date': '26/01/2024', 'min_price': '5800.00', 'max_price': '5820.00', 'modal_price': '5810.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Sultan bathery Market', 'commodity': 'Black pepper', 'variety': 'Ungrabled', 'grade': 'FAQ', 'arrival_date': '03/01/2024', 'min_price': '5840.00', 'max_price': '5850.00', 'modal_price': '5840.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Sultan bathery Market', 'commodity': 'Black pepper', 'variety': 'Ungrabled', 'grade': 'FAQ', 'arrival_date': '22/08/2024', 'min_price': '6250.00', 'max_price': '6250.00', 'modal_price': '6250.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Sultan bathery Market', 'commodity': 'Black pepper', 'variety': 'Ungrabled', 'grade': 'FAQ', 'arrival_date': '16/08/2024', 'min_price': '6400.00', 'max_price': '6400.00', 'modal_price': '6400.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Sultan bathery Market', 'commodity': 'Black pepper', 'variety': 'Ungrabled', 'grade': 'FAQ', 'arrival_date': '07/08/2024', 'min_price': '6400.00', 'max_price': '6600.00', 'modal_price': '6500.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Sultan bathery Market', 'commodity': 'Black pepper', 'variety': 'Ungrabled', 'grade': 'FAQ', 'arrival_date': '06/08/2024', 'min_price': '6400.00', 'max_price': '6400.00', 'modal_price': '6400.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Sultan bathery Market', 'commodity': 'Black pepper', 'variety': 'Ungrabled', 'grade': 'FAQ', 'arrival_date': '05/08/2024', 'min_price': '6350.00', 'max_price': '6350.00', 'modal_price': '6350.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Sultan bathery Market', 'commodity': 'Black pepper', 'variety': 'Ungrabled', 'grade': 'FAQ', 'arrival_date': '15/07/2024', 'min_price': '6500.00', 'max_price': '6700.00', 'modal_price': '6600.00'}"
2026-07-09T07:17:02+00:00,outside_sanity_range_10000_250000,agmarknet,"{'state': 'Keralam', 'district': 'Wayanad', 'market': 'Sultan bathery Market', 'commodity': 'Black pepper', 'variety': 'Ungrabled', 'grade': 'FAQ', 'arrival_date': '12/07/2024', 'min_price': '6500.00', 'max_price': '6700.00', 'modal_price': '6600.00'}"
2026-07-09T07:17:02+00:00,min_modal_max_order,agmarknet,"{'state': 'Keralam', 'district': 'Kannur', 'market': 'Irikkur Market', 'commodity': 'Black pepper', 'variety': 'Other', 'grade': 'FAQ', 'arrival_date': '05/10/2025', 'min_price': '64000.00', 'max_price': '0.00', 'modal_price': '64000.00'}"
